ID|KOD|NAME|PARENT_ID
1|A00-B99|НЕКОТОРЫЕ ИНФЕКЦИОННЫЕ И ПАРАЗИТАРНЫЕ БОЛЕЗНИ|NULL
2|B20-B24|БОЛЕЗНЬ, ВЫЗВАННАЯ ВИРУСОМ ИММУНОДЕФИЦИТА ЧЕЛОВЕКА [ВИЧ]|1
3|B20|Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде инфекционных и паразитарных болезней|2
4|B20.0|Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции|3
5|B20.9|Болезнь, вызванная ВИЧ, с проявлениями неуточненных инфекционных и паразитарных болезней|3
6|B20.8|Болезнь, вызванная ВИЧ, с проявлениями других инфекционных и паразитарных болезней|3
7|B20.7|Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций|3
8|B20.6|Болезнь, вызванная ВИЧ, с проявлениями пневмонии, вызванной Pneumocystis carinii|3
9|B20.5|Болезнь, вызванная ВИЧ, с проявлениями других микозов|3
10|B20.4|Болезнь, вызванная ВИЧ, с проявлениями кандидоза|3
11|B20.3|Болезнь, вызванная ВИЧ, с проявлениями других вирусных инфекций|3
12|B20.2|Болезнь, вызванная ВИЧ, с проявлениями цитомегало-вирусного заболевания|3
13|B20.1|Болезнь, вызванная ВИЧ, с проявлениями других бактериальных инфекций|3
14|B24|Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная|2
15|B23|Болезнь, вызванная вирусом иммунодефицита человека  [ВИЧ], проявляющаяся в виде других состояний|2
16|B23.8|Болезнь, вызванная ВИЧ, с проявлениями других уточненных состояний|15
17|B23.1|Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии|15
18|B23.0|Острый ВИЧ-инфекционный синдром|15
19|B23.2|Болезнь, вызванная ВИЧ, с проявлениями гематологических и иммунологических нарушений, не классифицированных в других рубриках|15
20|B22|Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде других уточненных болезней|2
21|B22.7|Болезнь, вызванная ВИЧ, с проявлениями множественных болезней, классифицированных в других рубриках|20
22|B22.2|Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома|20
23|B22.1|Болезнь, вызванная ВИЧ, с проявлениями лимфатического интерстициального пневмонита|20
24|B22.0|Болезнь, вызванная ВИЧ, с проявлениями энцефалопатии|20
25|B21|Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде злокачественных новообразований|2
26|B21.9|Болезнь, вызванная ВИЧ, с проявлениями неуточненных злокачественных новообразований|25
27|B21.8|Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований|25
28|B21.7|Болезнь, вызванная ВИЧ, с проявлениями множественных злокачественных новообразований|25
29|B21.3|Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований лимфатической, кроветворной и родственных им тканей|25
30|B21.2|Болезнь, вызванная ВИЧ, с проявлениями других неходжкинских лимфом|25
31|B21.1|Болезнь, вызванная ВИЧ, с проявлениями лимфомы Беркитта|25
32|B21.0|Болезнь, вызванная ВИЧ, с проявлениями саркомы Капоши|25
33|B25-B34|ДРУГИЕ ВИРУСНЫЕ БОЛЕЗНИ|1
